IP,RegisterAddress,Description
192.168.10.81,40001,원료A 투입량
192.168.10.81,40002,원료B 투입량
192.168.10.81,40003,블렌딩 시간
192.168.10.81,40004,교반 속도
192.168.10.81,40005,캡 수량
192.168.10.81,40006,라벨 수량
192.168.10.81,40007,패키징 수량
192.168.10.81,40008,공정 상태
192.168.10.81,40009,에러 코드
